Program Title,Cover,🆕 Category,Primary Area,👧🏼 Kids,Release,Status,Lessons,Hours,Pricing,Prod Abbreviation,Priority,Product Type,Languages,Author,Brands,Outcomes,Areas of Growth,Airlines,Length,Modified,Transcript
Tapping into Emotional Mastery,LT_QuestCover_1920x1080px_EN (1).jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/HnmPOEeilR8qAffUKfJ3NQ/PdaFcj6YVhl3VfLqJKC85mJITRCm91ZdPh2K1PEXpTOsT1fcvlE6ZXiFQjjER74IlLxV2RSysSRkZP4Yz0_N1UoV2OxWfrITeFydqAXSLdzLzzig5OM6gSsYvUdbEfZUcW8SWx5qsvG5AE0t-JmDrImsVuslgs0bfmD-9qbgHKk/z-WU4HJR69kcFYzsBA4CuibkPLx39umvlwMS2tEP90k),Mind,Emotional Mastery,,3 February 2021,Published,28,12.3,$399,TEM,3,Quest,🇬🇧 English,Jennifer Partridge,Membership,"Mastering Your Emotions,Upgrading Beliefs,Greater Self-Love,Energy Body Awareness,Healing from Trauma,Connection to Your Higher Self,Enhanced Intuition,Increasing Happiness ","Emotional Mastery,Intuition,Self-Love,Happiness,Abundance Mindset,Spiritual Awakening",,4 Weeks,11/2/2026 10:36pm,Tapping into Emotional Mastery with Jennifer Partridge Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/YzqlDLX3DUIiBAzBOqAG5Q/JTFjMnjdPn_q4rW3cEkhSusWLV0wB7pC3k5WFgUvUKmr_457zdUSHhTXSYiKvQfzRaPNOcpyyWGmmINL4h0XjBAv6HU-9tia-cGjT5MdAxdYbnLh66X9xpdi528_vwYgqSEghFjwoIrT2c9Jz7fyNCCYsp8y5_S_KxYxxVJi_J-E0z7cRDClc3X1YSd3MTKGjuOChoej46ApH-MDSvsF9ciRRmM5Tp9BdqEZDeiBX7w/yeCDRiuOXRZvUnl1JMMHlzal4j-7tjUFYtzMhifcoN8)
From Awesome to Flawesome,Slide 9.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/J6Qz5B3VYDiMzhabE0Sytw/_2DHDfhz-VRARemAH5YGlMZeY5adVuozSqpi0uBx00zzN5LQe3xfZpMLdln8aGbDAbjrIKhMp51B2xJBgVUNNXyA80Zh6jublcGLht8LNhEVy9Ut7KaYnH6ysYiVH04ek6jIhoLQ003cxRiwlQOpYA/F6Y7F3eFhpWYqbDzYLrxEX1wcqGat4WecaZTNV4lBfM),Mind,Self-Love,,29 May 2025,Published,26,6.0,$199,FAF,,Quest,🇬🇧 English,Kristina Mand-Lakhiani,Membership,"Self-Acceptance,Courage,Better Self Awareness,Greater Self-Love,Developing Self-Confidence,Self-Awareness","Self-Love,Self-Mastery,Abundance Mindset,Spiritual Awakening",,4 Weeks,11/2/2026 10:17pm,From Awesome to Flawesome with Kristina Mänd-Lakhiani Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/HqkNjakWJjqS1-2yA1nEWQ/mypuGiyuDK58oFOhAB4T0wepFVEEk1MPW9JxYXkxXP_lgndOOE39wsQ8JoLAgT_s57zTjCqNnDVpd5XVUrmC6_p9viiS1pTTnaPUTBmrwvIkFh21L-rasxs00ULSIOYianG0UAXOwHs5j1GUQhHJwwXYqS8I4g1jOtWXwqyMI4x5LDHqIPZRnX_6CvLslwffRAtr-XmLnKekiBozYVqQqnbeKpRTnPTqIF4fLJng2VY/FIjXYSgSKjkHdNqpJopN3OXCWFDZf8CZTxdtyvlDJRw)
Rapid Transformational Hypnotherapy for Abundance,Screenshot 2020-04-16 at 11_10_50 PM.png (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/SF4HdKgS6tNlQHQV853SPw/LSVse_NIRP3EIYazg4VZurbCT4Bs0BpLp-Ql1KW0kI79rpGGTnfnlo1qit-r7kJgl0zson9hqn6hdwVrbn94mwSifaHltG-1aN_WFswh1r5dLmFxH59q_qjiFJ0PT8LM-vVJaIQTUl8UM1eWvdIDRmwNG5qcreF2jsVxdh6jqcM/N03oSRMU31FzgggjhxRgu19lriuymtv1tl_FICo_szM),Mind,Abundance Mindset,,29 October 2018,Published,35,8.0,$299,RTHA,,Quest,"🇬🇧 English,🇪🇸 Spanish,🇩🇪 German,🇷🇺 Russian,🇵🇹 Portuguese,🇫🇷 French",Marisa Peer,Membership,"Greater Sense of Abundance,Healing from Trauma,Greater Confidence,Greater Self-Love,Improving Love Relationships,Improving Overall Health,Deeper Connection with Your Partner,Growing Your Income","Emotional Mastery,Self-Love,Money & Finance,Abundance Mindset,Strengthening  Relationships,Confidence,Wellness",TAP Airlines,≤ 6 Weeks,11/2/2026 10:46pm,RTHA with Marisa Peer Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/EA0E0xPgkVMbohlGmTjJVw/8WLAdhBQ7uaSSLRhE2U_12vpO6VBkZdpa5nJDA8QsNXzTztC5kkua6q80efz6LTCmfFvC9OCY8t-5RbD7QWnB63TzJ6B5Uk8Y1MBZsbzcG1y_MRGfBBttxsFj-OblDX_g4FHWKUmfrUKO9XylrmV2fyZtxUN0ssh13pceyCj6MqQOT4u0qO5pIkDO8AsiIT8/N_lHgNUVRuecFwhkP04Gk94IeGGIVAuMOcpkuyj4_W0)
Life Visioning Mastery,Screenshot 2020-04-16 at 4_52_30 PM.png (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/1eS2blYNPEaeu8hJDXU0RA/UA3-NX1mvd6EIsri74MP-TSvu9v2tlIZh1cBMQIepbJTgrgd90_SXJH6fv_4diQ9fUwPBvDCgNi4n0SAZUC7OqENzCd4A6sI6PoAsUO6lXHr0fggTjWffuMvfiqbAt_QIkB8F177G3aQPuwp80KwjtVq9ZlUszBJrE9wWVOW7jI/nxsQYLlcqpBpa9BqbuognNtOnr7SarUhHMLcmCj5TiY),Mind,Quality of Life,,2 March 2019,Published,35,6.0,$499,LVM,,Quest,"🇬🇧 English,🇩🇪 German,🇪🇸 Spanish,🇫🇷 French,🇵🇹 Portuguese",Michael B. Beckwith,Membership,"Surrender to Higher Power,Finding Your Purpose,Manifesting Dreams,Increasing Happiness ,Clarity on Life Vision,Enhanced Intuition,Feelings of Oneness,Soul Alignment","Manifesting,Intuition,Happiness,Vision,Oneness",,≤ 6 Weeks,11/2/2026 10:45pm,Life Visioning Mastery with Michael Beckwith Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/yb6lTr6hjtUZZw1V8FwkRg/tg-wF1b0S43XXEyg_RUCMQIgLG2lt63IWYf2XhqKQiS21WBmGUXFwOURzm6l4AkiC0DVDKaBntCAc7n6YUfLXezfAbn78BrpGMhkoLCATJFxhn3-Yrd2ZT2Khv8LRohWrGL2monggeFCAB7FtDmb2hPPFl1hxhOXY6MwuhMEYylorXAz4PmINrGTmJDcqTuvyKmR2L_Dbg35CW6oD75xz_GzH2P5NOYhbhTqBRdTJdg/JhiTnqu_zWH8qb8ai5xtaae6laTC98CPyO4QpfTWcdA)
The M Word,Screenshot 2020-04-16 at 11_10_58 PM.png (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/i94pglfmbVKZH5ZD2EcSPg/B6eEtZROnaiHkXU_7srUueU0n0fl-w1xoNb_jj9U4YeXFllEKo-1l0dALIOJZ6VLzWo59XiekiUX3-_JcDJv9-TgJ8IlFDoW2sVoy3QoijTMNaoctPuSOytAeUAG6_V6jOyonj4-yyWerqoQKtdcTVbZ_RG5NEzTeaGl14k8nAc/Q3urG2mz3EZLZH_H3_PYbPcm016IDXiaII0VktrtVqc),Mind,Peace of Mind,,13 February 2017,Published,34,10.0,$299,TMW,,Quest,"🇬🇧 English,🇷🇺 Russian,🇪🇸 Spanish,🇫🇷 French,🇩🇪 German,🇮🇹 Italian",Emily Fletcher,Membership,"Deeper Meditation,Better Meditation,Enhanced Intuition,Resilience to Stress","Peace of Mind,Intuition,Resilience","Emirates,Cathay",≤ 6 Weeks,6/2/2026 8:00pm,The M Word with Emily Fletcher Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/mHNXY6E5iEPuzatJb0uBdA/SDZHw-nn0t2RNjGcaa9QRzqsHnuORdmZPw_zqro0Z6H5c-mVys4qWBLoaEdg2LFBrjl3qBiXkHV25hQqY-DVIEkd3lVq28-e41PAKMesuLLKC4Elg2fZYpyTGu30R2I28xC8PQaXXBrH-955pXcZlHsC8tI05_SP59UNutMyHf_8e8W9yvJAoJj0Imhg3wX05wEbuKXVpFXlNpoV0_lubA/0JUHd8SQekIJTkZhRu6gf1KgqQFy1DInyI2KsvG9naY)
Live By Your Own Rules,LBYOR_QuestCover_1920x1080px_EN (1).jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/kxFQ2KRwyz5c3OaonWjKwA/yuMGGjW0NW0aOM9yQXsU_Rxky0mGFX0W6_86VqRual2Ij_TJyqt0ycQaqI_EyvuaOK7GvIJl7fXVICaCLB9M8XWsDZfCs0u_aFNedH9S5sIofO-Y5vzB_i6jXC8-2R6jXnNTPCkQV-CRTPV32SwNG8TdWNbjBBG2mWN_jMGnIKQ/-tisXZL20kCalzN1rdtAClfdunWXs-3dhz9EBmfldXY),Mind,Quality of Life,,28 January 2020,Published,31,10.0,$199,LBYOR,,Quest,"🇬🇧 English,🇷🇺 Russian",Kristina Mand-Lakhiani,Membership,"Better Self Awareness,Greater Emotional Balance,Greater Self-Love,Self-Acceptance,Courage,Increasing Happiness ,Becoming More Authentic","Emotional Mastery,Self-Love,Happiness,Strengthening  Relationships,Spiritual Awakening",,≤ 6 Weeks,11/2/2026 10:43pm,Live By Your Own Rules with Kristina Mand-Lakhiani Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/SM4ooNSzAvBkHFyHaSRoIA/C6ELjm4zx1TNB6dUrbyRhGY41VZJjoDTrLzL6BKXqlJ17GTq9zuWYfgy3Ew-Ou43-cYa6dZlggKs4m_Gmw4-xHfNR_glJw2EOzP9GqhfOBNbxdLtnU3fkZWwWGxUIf8BnyyjryfelcIFUByJxASAOfbjwDfupQhH03qYtePi6EW7mGYVRMnQWDGvQ5PX4UvUHQvmaxQ4_gKSFCHwmf4LjCWosTAYY92FlH4zhovU2Cs/AB3SINl577ZCB6-tOu1LShACwOL_7cRCAltbxvTtCeM)
Be Extraordinary,BE_QuestCover 1920x1080_EN.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/D0p-5VlVsT_cnc4uFsr7Ig/DrxPEpyrCwWs-6enCPK19lOxaThDFKgzFg2USgEPlgkkLhII5061DhSxdb7vZHpewgGr4KlaVTCdgam2MptvEJyTYneFoX8vt237h3RQLZEa5pXjIHKkP-2vG1bIOzokENkQ5KUTHkQ2WhVnRZxkXX67LhLAeazehwcVP2BluE8/fAy2n40dqMu4MgYXjtEJq0YAPWwqZ57ktrblBJbeDAw),Mind,Self-Mastery,,28 January 2020,Published,30,8.0,$399,BE,5,Quest,"🇬🇧 English,🇷🇺 Russian,🇪🇸 Spanish,🇩🇪 German,🇫🇷 French,🇵🇹 Portuguese,🇮🇹 Italian",Vishen Lakhiani,Membership,"Greater Self-Love,Greater Confidence,Resilience to Overwhelm,Finding Your Purpose,Achieving Goals,Improving Compassion,Forgiveness,Enhanced Intuition","Intuition,Self-Love,Self-Mastery,Vision,Oneness,Confidence,Resilience","Emirates,Cathay,TAP Airlines",≤ 6 Weeks,11/2/2026 10:42pm,Be Extrarordinary with Vishen Lakhiani Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/W81-xZ5G-ix2bffAzbViWQ/1t1eInBxa3XqMMmOXBa6SH_xZ_D_vIHgP3xB53uU-11nSk4bWmgRohgsLVC0H-Kbi9yhHxrVXFCASBlPrAiVns7E6j9rI2O_YS5ud_3q9PlU0cKYFRxPnHVuyqSEtTOwb3ek9JEw1HmTze3xfr6AtaAQ0inTh61R1cUpNv03bO_BjDa-gLsmc4UNBOyas4Ygks5AIa0VG6VNUskmWxPvfA/2-vpBjdN3eSCgNDIPvGSRe4SU-emPw0wuBS2IUqanVE)
The Integral Life,TIL_QuestCover_1920x1080_EN.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/sSgsFHKuZVCss1V-JqaVQg/-vqCEqzjciKqtcnsA0LdTt3d2wi8J_UC7K_XwZgKH6J78v7Jrq61_tUoLn7hG8MMRl2EYpve6fYo_sZ0b79BBefdUTP-SR8IO0P5eGtXNKuV3sIjtNN88-G5UZUpMFfXbAuzloQ788rTo-HpQ86JV5IAnyKV-pw3HrJPBllxXsQ/nNggGc1coO_WGkfstqPs8Nd-sTCwWmiUHc2lhSIfWbw),Mind,Self-Mastery,,2 July 2020,Published,35,10.1,$399,TIL,,Quest,"🇬🇧 English,🇪🇸 Spanish",Ken Wilber,Membership,"Improved Spiritual Life,Elevating Consciousness,Greater Empathy Towards Others,Better Choices & Decision Making,Self-Healing & Growth,Progression in Your Career,Being Well Rounded ,Feelings of Oneness","Leadership,Career Growth,Emotional Mastery,Vision,Oneness,Spiritual Awakening,Problem Solving & A.I",,≤ 6 Weeks,11/2/2026 10:37pm,The Integral Life with Ken Wilber Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/23r2m_yqWRSgLPiB6LLymQ/tK8Hiw0Ltpc_dFURHrmgYHDr0O8TLf9Ccp4nIxGB3psudV_4OU2AIbjSwO1KjJn2sqo0IecGM1K-sbzeqy8of6s8Xrj0SrYWxXCrO9AQFXc0QtRIsfLUliulpcsFJSM-RqIwilBYDqwk4XtroIYMKJW7iOUu1NzRHUSzK0oIoPZEFDkPDy11ON7ivwK_PF1m6ioSbQEgJcht-wj4Xc_N3A/hJJM3iArgDTn4zaAUwvNMjWTk6r79XiNoK4E3Npg7RU)
Healing from Heartbreak,72428594-0fa5-4149-87c1-bb0bea3bcb2c.png (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/qsy22pRWeFzj9zy7DUZIQQ/zHF0lF0T62Yd9ER-VM_PL1lblfF7uYRpbMJ-65iqOV-jh8eR8jOFypmZgZO8FYxGnZpyxd-X4I5WDYrdE9uEQGzvnVEczMzNuOPPzH31xaHf4_tsUaRKJr4bvYSVZmyVbdsj-cwBHlkH5JdZVdmkGfyvZ0WwOKnfvzw2llpCyQI9UTqCW2x54m6Gbea3OPhi/V4xjyN5b0chngKWJdy2ksZRE6r32VM0uBcteqZN9FOI),Relationships,Healing Heartbreak,,12 January 2026,Published,8,2.5,,HFH,,Quest,🇬🇧 English,Sheleana Aiyana,Membership,"Healing Grief,Healing from a Broken Heart,Self-Healing & Growth,Self-Acceptance,Improving Love Relationships,Greater Trust in Self and in Life","Spiritual Awakening,Healing Heartbreak,Mind-Body Healing,Self-Love,Strengthening  Relationships",,,16/1/2026 6:03pm,Sheleana Aiyana Healing From Heartbreak Quest Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/R3sYeCH0BLw61PITmR4l0Q/AeVYYZ3pe_3dvWdpGL1omwqK9DEJY8bsaBUxESgk8xlY9aJ1SfcLEtK4-uVKTbzlDSv-o3WR9ryYSYthCRE6T8UzsA1MTflORFs_PURCul1q-F0NxsUGyYa2w5rikx8nyArBF2iTc7J_OfKGG2yOwix0ZfriQM4fJA_4fqu0sSy4fSH0tEUMG3FuRqwJxyGDtVsOowu1AAC1h2SvrZZK6w/-cW-O7TfmEx9D5StVA2kaaxOQUE38stFfAe1RjPKmAc)
Creating Friendships and Deep Connections for Teens,CFDC_QuestCover_1920x1080.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/ZZ-HC_1Xee7oW4LxIdHMYQ/s2bEU7_7AFmK_Kgja-p_9CJXdzkfLoKDtj0OpNJDmmuiexyu__oGUgPj9B6mou-jHReSyjInLHjK-lIDc-LCkmUGAgMIgHhOSe8fC_pdcoeM6u7iX4PUxavpS3zpSUpbasqUh6bn__aEwRLMc7t-GGDtjnKB5ieYA9F7AlcfrJs/g8QW99i7ngvfsZuLWEBUOrRGVDtrhHUDvIRyjzIMiuI),Relationships,Social Life & Friendships,checked,5 April 2021,Published,10,2.4,$149,CFDC,3,Quest,🇬🇧 English,Gahmya Drummond-Bey,Teens,"Overcoming Fears & Anxiety,Improving Compassion,Becoming More Authentic,Improving Self-Esteem,Conflict Management,Better Friendships,Emotional Connection with Others","Social Life & Friendships,Emotional Mastery,Strengthening  Relationships,Oneness,Confidence",,2 Weeks,4/12/2025 7:04pm,
Magnetic Charisma,MC_VideoCover_1920x1080_EN.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/G-tncQe1FtPCfXpNpkZKcQ/nGXBXEJvqJd3WlwazIVIL0PJReeqPJG-6zG-X3r7L50gValgiViuag55ufUOUoOPXQmAhLaEgn0FZHkr7dw3Q-_RUreFE_Yrd9lJgBof5rnPbolcYV808KbyEE5IaiUu69sEUWS89If4rRfGE3B09TIv4PIOUP59qVBOfvZXdmE/wz1J-nmjVDFA486LeBuNtFQ6GtCJpiKLvViAS09p44E),Relationships,Finding Love,,5 May 2022,Published,14,3.1,$199,MC,2,Quest,"🇬🇧 English,🇪🇸 Spanish,🇫🇷 French,🇩🇪 German,🇷🇺 Russian",Vanessa Van Edwards,Membership,"Develop Charisma,Better Communication Skills,Better Public Speaking,Better Self Awareness,Body Language,Greater Confidence,Emotional Connection with Others","Social Life & Friendships,Emotional Mastery,Communication,Confidence,Spiritual Awakening",,2 Weeks,4/2/2026 1:01am,Magnetic Charisma.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/tQnwADyJKtUR1ncCD9yhiQ/eg_oLW-3-1TTEEolooKmAxtoWWWK0BICuEgpTbRkipWcI5pegE9QhZ4pQ-KD5dK6y6er9Alayqj_zebmRLzKUc7qx0flCW59XixBQIzZA7nZA3Q-A4NnwoiUgYgihlHOGnQVlFSNe3nQt0MDqRT5AOfLUtWvUEElhfMf5Jm3iSs/akNTncwMq51hiIHhTxpzJHz4ITItlaHEu2bPQ6eiKmE)
Wild Woman Sensuality,WWS_QuestCover_1920x1080_EN.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/pO4Famballmz6XLBNaRBOg/KwtXWTfQ2xKBQOTsWYnvXf5SWC66Ngbicb0lm6E9xlmIHnSf1jZGN7jL72D0ks4VWO8cF1WvSOPBHvqVOdmPnQWHRrYKmIU7GXhfXZYvzFGzELRv3qBC6pQvzKEtupIFt_b8y6cI0cxX3I5SUXvVqWZ1IcqrOn_voDPxLHufmgo/BH-PFtXRq0vO691lNQmSFI6Bk_y6Ud6TGk8zfyaArlc),Relationships,Better Sex,,12 February 2022,Published,10,3.7,$149,WWS,4,Quest,🇬🇧 English,Rachel Pringle,Membership,"Enhanced Intuition,Alternative Healing,Greater Emotional Balance,Greater Trust in Self and in Life,Embodiment,Sisterhood,Mastering Your Emotions,Better Self Awareness","Manifesting,Social Life & Friendships,Emotional Mastery,Intuition,Strengthening  Relationships,Confidence,Spiritual Awakening",,2 Weeks,26/11/2025 5:37pm,
Body Language for Dating & Attraction,BLFDA_EN_QuestCover_1920x1080.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/9cd-Q0kTqi4FfN15oFOhWg/EnnSgPNmSgKqXmL0LGY_Ll573exTpfPi0WZs4z-8wkxIMbR-qekKIOVYC1d-C_3vlKGYmemWDHWq9CgABVWL0FJkOv-FAva83Sz0cE7TpY0MJtAUVngxX3dcCjGQ34U5DYlyolGcD6LVsAJPO1v5YbXLq2--3wbMKMA9c2GSeLk/G1moj7aE9NeJV8P6zVyjm2t4gQYY95nF6z187EqO5ic),Relationships,Finding Love,,28 June 2022,Published,10,2.0,$149,BL,,Quest,🇬🇧 English,Linda Clemons,Membership,"Greater Confidence,Develop Charisma,Body Language,Improved Dating Life,Better Communication Skills,Being Seductive,Improving Sensuality,Improving Feminine Energy","Social Life & Friendships,Finding Love,Better Sex,Communication,Strengthening  Relationships,Confidence",,2 Weeks,12/10/2025 11:16pm,
The Science of Great Sex,The Science of Great Sex quest cover.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/glb1IExnWL3SUxuM9e7ybw/hxBYaIW3YQCH_xQE-IBiWKiNnYJmM4ukWl_2wK68bPSbmFKELWYvtbg-2DHuNLJjZRoKgkNnrAhcFm-w8sN6eYBd4vcRf-nt9FUWFwI8sedSeIApanRiSRvuW8OG-0Cu2cwZS4b6vbiwZmuGifgMoU4F0Ys475S3MvYuFpWToV4/aBiAJIZZBrm9VArPAAmxDpDtPkc2M7A5tMEB8H-_R5Q),Relationships,Better Sex,,10 February 2023,Published,11,2.0,$99,SGS,,Quest,🇬🇧 English,Dr. Amy Killen,Membership,"Improving Sexual Health,Improving Sex Life,Look & Feel Younger,Improved Dating Life,Improved Intimacy,Greater Self-Love,Improving Love Relationships,Greater Confidence,Improved Arousal","Attractiveness,Finding Love,Better Sex,Self-Love,Strengthening  Relationships,Confidence",,2 Weeks,12/10/2025 11:16pm,
Waves of Pleasure,image.png (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/k2HTi_4cufRmBXWZdsgBNg/xFyFE6W48ZupQPARCaTriX_Y69FRZ-cR_0XdWZcFw0RwZ8LZBhYwyTTDUo__iA_kDhjCXiKclOKLwZUVVhGYcXIlB3T8-B5f4VKEjc4v38Q5hUCdjXRk5ckh-CUWJZIzrHTFC40KWMDYB0zERD54eA/-i0IH_bdzFC7z3kQPQ-C_qrjzJCOrzNcnpa77ylR3wE),Relationships,Better Sex,,5 March 2023,Published,9,5.0,$99,WP,4,Quest,🇬🇧 English,Bibi Brzozka,Membership,"Improving Sex Life,Greater Self-Love,Enhanced Orgasms,Improving Sensuality,Increase Sexual Confidence,Appreciating My Body,Improving Feminine Energy,Personal Magnetism","Attractiveness,Better Sex,Self-Love,Strengthening  Relationships",,2 Weeks,26/11/2025 5:37pm,
Quantum Love: The Blueprint for Extraordinary Relationships,QL_QuestCover_1920x1080_EN.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/Mo7ZbODS1SKQTgBcxZjIBA/qyBvygqgUdDFVmJVwHB-WRIOlyPLTTQtCz8KRtQcUDDDU8iBmTvP6iUBf3mNlcNPH_9uGK4VIJVnOyOQTU7uufpNlMj488vvBG93VEHlKWRYBH52r1_2CQI0Y6tYDk5z0-dJrYiWF9jFL7XOzw7v_Sp1Y2ocIOZIKrxAMM4kbac/smW5BfNfasy9mFf5l7JNZrINNrl1UHjWH011jb-WaDM),Relationships,Finding Love,,22 July 2024,Published,16,5.5,$199,QL,,Quest,🇬🇧 English,Dr. Laura Berman,Membership,"Improving Love Relationships,Finding Love,Deeper Connection with Your Partner,Being Seductive,Improved Intimacy,Improving Sex Life","Finding Love,Better Sex,Strengthening  Relationships",,2 Weeks,10/2/2026 4:48am,Quantum Love Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/qjGhe1lYTpCp0DymB89YhA/-WoTFXKNDHp-FMLjWchH0zCClKTVSmmvIMzF_hgmNnqa35nHv_heqyRLWXc3vxSW4W9aALHICkNbjZnoYLT70gEuNqK0TlAw0EkH2Mx08LU9lf-ROaxt-OEkpVEbo7IJdcnA_Hgr6hpsegQVcOkJzxWLY6X9PR-xM9FcPTZ_qF9OWzMVK1h4HeDmubcHODrB/hWMEP4ZnR_RC1ZNyQtJL-SczeqSM9DHozbI_5rNBqgM)
Build Your Dream Community,BYDC_QuestCover_1920x1080_EN2.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/vTCF-iw9QflmO9N3XpvqRg/JjCvPneffh6F6fc7fgwY5wxf6HQJBhZANYRdcLYW7bGQghQfwZLrcOcICUAKGwo0Ztf4yIwq4vxpM0kgGMDWvrFuhNWKi8BtZ93GONtTX1KjoJ1Z8xQ608e687X3IiZ0A_QcNxZmmlrGOQMepLkgUCN953qBTOi9c7HGwG15Yz0/lw_wJZBbNeTKwXzaM7i18XVBjVDNsOlQWQEnuICwLSc),Relationships,Creating Community,,1 August 2022,Published,17,6.4,$199,BYDC,,Quest,🇬🇧 English,Radha Agrawal,Membership,"Creating Community,Increasing Happiness ,Better Friendships,Overcoming Loneliness,Growing Your Network,Developing Greater Positivity,Courage,Better Company Culture,Creating a Sense of Belonging,Better Listening Skills","Creating Community,Leadership,Social Life & Friendships,Happiness,Strengthening  Relationships",,3 Weeks,13/11/2025 1:59am,
Becoming Irresistibly Sexy,BIS_QuestCover_1920x1080_EN.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/5bGBuh9tGo-S-_wiU60_sg/LjS6aBj0CC0OPWMOm7wV_Y0ld253WFle1C3lrFOsC_3yEd9H23iheliqjqwKmUagAER8SthvUEhn9PCApAFFcwVEtRITfuQ7IcCwUjN-lkda0TmgfPfFlcma0CPXy_ojcSya4jGIxiqvzqQuCjoleL3VBa5m0PAcfGeH7OZzd70/IJmrxsqnr6pJi25iE9BfnL1CCS1N1IUTfsyZybG12zI),Relationships,Strengthening  Relationships,,16 February 2024,Published,21,6.0,$299,BIS,4,Quest,🇬🇧 English,Sheila Kelley,Membership,"Personal Magnetism,Greater Confidence,Increase Sexual Confidence,Improving Sensuality","Attractiveness,Better Sex,Confidence",,3 Weeks,12/10/2025 11:16pm,
Neo-Tantra: Discovering Energy Orgasms and Deepening Your Sexual Connection,3RMra0Sg.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/E3BvLE9upivvd5luV-tY5A/6LUd64vUVD2bC7FvD_8BF7GZ3Jfu4LtLaAzR7sOZdLQQr8wTVztXXgJ8exmARQSD6fcvpti4r7MNE_PCCxeBvnHVL5zUy_5fNDyDN4suTv4WIlpfD2qp6cMK-22vLzVKqS0jjfWoayDRdU4dlaQCKQ/QghqMWRU41-GerMQ0NBOpafoTbXJ-HVnKOUyU-r-jGs),Relationships,Strengthening  Relationships,,13 October 2023,Published,18,9.0,$249,NET,,Quest,🇬🇧 English,Layla Martin,Membership,"Enhanced Orgasms,Improving Sexual Health,Full Body Energy Orgasms,Sexual Healing",Better Sex,,3 Weeks,5/2/2026 12:07am,Neo Tantra Transcripts.txt (https://v5.airtableusercontent.com/v3/u/50/50/1770868800000/MjHe1wlPfn19TgPGkF4Meg/gBrkiDTOsef4Wk7uAkxaAd6KrTqTlA3BCX63YXbtg4k5oJDRdHfdG1ma92kBc4m2zxdLgUrKXmxoXnOqNUTcr6k2dnAMpc03hfz-ator5S0rcOj2RdLyqVWTo9X6UM259GkeYEvMyIBzcJM83mT8nZjqDzOOLvfbHtLqT_Ucnjg/AMt8umBhHh-Xt2bsDZAVe9H2mFh8vHK1419vxB7hL6Y)
